mgi_symbol	is_force_smELT
Ace2	0
Adora2a	0
Aldh1l1	0
Amigo2	0
Ano3	0
Aqp4	0
Ar	0
Arhgap36	0
Avpr1a	0
Avpr2	0
Baiap2	0
Bdnf	0
Bmp7	0
Brs3	0
Calcr	0
Cbln1	0
Cbln2	0
Cckar	0
Cckbr	0
Ccnd2	0
Cd24a	0
Cdkn1a	0
Cenpe	0
Chat	0
Coch	0
Col25a1	0
Cplx3	0
Cpne5	0
Creb3l1	0
Crhbp	0
Crhr1	0
Crhr2	0
Cspg5	0
Cxcl14	0
Cyp19a1	0
Cyp26a1	0
Dgkk	0
Ebf3	0
Egr2	0
Ermn	0
Esr1	0
Etv1	0
Fbxw13	0
Fezf1	0
Fn1	0
Fst	0
Gabra1	0
Gabrg1	0
Gad1	0
Galr1	0
Galr2	0
Gbx2	0
Gda	0
Gem	0
Gjc3	0
Glra3	0
Gpr165	0
Greb1	0
Grpr	0
Htr2c	0
Igf1r	0
Igf2r	0
Irs4	0
Isl1	0
Kiss1r	0
Klf4	0
Lepr	0
Lmod1	0
Lpar1	0
Man1a	0
Mc4r	0
Mki67	0
Mlc1	0
Myh11	0
Ndnf	0
Ndrg1	0
Necab1	0
Nos1	0
Npas1	0
Npy1r	0
Npy2r	0
Ntng1	0
Ntsr1	0
Nup62cl	0
Omp	0
Onecut2	0
Opalin	0
Oprd1	0
Oprk1	0
Oprl1	0
Oxtr	0
Pak3	0
Pcdh11x	0
Pdgfra	0
Pgr	0
Plin3	0
Pnoc	0
Pou3f2	0
Prlr	0
Ramp3	0
Rgs2	0
Rgs5	0
Rnd3	0
Rxfp1	0
Scgn	0
Selplg	0
Sema3c	0
Sema4d	0
Serpinb1b	0
Serpine1	0
Sgk1	0
Slc15a3	0
Slc17a6	0
Slc17a7	0
Slc17a8	0
Slc18a2	0
Slco1a4	0
Sox4	0
Sox6	0
Sox8	0
Sp9	0
Synpr	0
Syt2	0
Syt4	0
Sytl4	0
Tacr1	0
Tacr3	0
Tiparp	0
Tmem108	0
Traf4	0
Trhr	0
Ttn	0
Ttyh2	0
Oxt	1
Penk	1
Sst	1
Tac1	1
Gal	1
Cartpt	1
Vgf	1
Trh	1
Nts	1
Scg2	1
Gnrh1	1
Tac2	1
Cck	1
Crh	1
Ucn3	1
Adcyap1	1
Nnat	1
Sln	1
Mbp	1
Th	1
Fos	1
